property_name,raw_location,proposed_clean_location,proposed_area_type,priority,square_footage,development_notes
Elm/Ledbury,UPH Floor Movie Room w/kitchenette,UPH Floor Movie Room w/kitchenette,Amenity,High Priority,,
Elm/Ledbury,Visitor elevator #B5,Visitor elevator #B5,Elevator,High Priority,,
Elm/Ledbury,ELM ½ Outdoors,ELM ½ Outdoors,Terrace / Outdoor,Medium Priority,,
Elm/Ledbury,"Guest Suites (Ledbury 201, 202, 503, 603 & 703) / Suite Turnover","Guest Suites (Ledbury 201, 202, 503, 603 & 703) / Suite Turnover",Guest Suite,Medium Priority,,
Elm/Ledbury,"Guest Suites (Ledbury 201, 202, 503, 603 & 703) / Suite Turnover ELM/LEDBURY Towers","Guest Suites (Ledbury 201, 202, 503, 603 & 703) / Suite Turnover ELM/LEDBURY Towers",Guest Suite,Medium Priority,,
Elm/Ledbury,Parking 1 2 Universal Washroom (Between ELM and LEDBURY towers),Parking 1 2 Universal Washroom (Between ELM and LEDBURY towers),Washroom / Change Room,Medium Priority,,
Elm/Ledbury,Parking 1 Staff room with 1 washroom,Parking 1 Staff room with 1 washroom,Washroom / Change Room,Medium Priority,,
Elm/Ledbury,Stairwell C UPH-Gr.,Stairwell C UPH-Gr.,Stairwell,Medium Priority,,
Elm/Ledbury,Stairwell D UPH-Gr.,Stairwell D UPH-Gr.,Stairwell,Medium Priority,,
Elm/Ledbury,(all mopped areas),(all mopped areas),Other / Unknown,Low Priority,,
Elm/Ledbury,1 Visitor elevator,1 Visitor elevator,Elevator,Low Priority,,
Elm/Ledbury,All metal thresholds,All metal thresholds,Other / Unknown,Low Priority,,
Elm/Ledbury,Amenities,Amenities,Amenity,Low Priority,,
Elm/Ledbury,BBQs,BBQs,Terrace / Outdoor,Low Priority,,
Elm/Ledbury,Baseboards,Baseboards,Other / Unknown,Low Priority,,
Elm/Ledbury,Carpets,Carpets,Other / Unknown,Low Priority,,
Elm/Ledbury,Chute Room Tiles,Chute Room Tiles,Waste / Garbage,Low Priority,,
Elm/Ledbury,Doors,Doors,Other / Unknown,Low Priority,,
Elm/Ledbury,Elevator Tracks #B1 & #B2 Gr.-P4 level,Elevator Tracks #B1 & #B2 Gr.-P4 level,Elevator,Low Priority,,
Elm/Ledbury,"Elevator Tracks #B1,#B2,#B3 & #B4 11th-Gr.","Elevator Tracks #B1,#B2,#B3 & #B4 11th-Gr.",Elevator,Low Priority,,
Elm/Ledbury,"Elevator Tracks #B1,#B2,#B3 & #B4 UPH-12th","Elevator Tracks #B1,#B2,#B3 & #B4 UPH-12th",Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks #B3 & #B4 Gr.-P4 level,Elevator Tracks #B3 & #B4 Gr.-P4 level,Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks #C1 & #C2 11th-GR.,Elevator Tracks #C1 & #C2 11th-GR.,Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks #C1 & #C2 UPH-12th,Elevator Tracks #C1 & #C2 UPH-12th,Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks #C3 & #C4 11th-GR.,Elevator Tracks #C3 & #C4 11th-GR.,Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks #C3 & #C4 UPH-12th,Elevator Tracks #C3 & #C4 UPH-12th,Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks ELEVATORS C1 to C4 between P1-P4,Elevator Tracks ELEVATORS C1 to C4 between P1-P4,Elevator,Low Priority,,
Elm/Ledbury,Elevator Tracks ELEVATORS P1-P4,Elevator Tracks ELEVATORS P1-P4,Elevator,Low Priority,,
Elm/Ledbury,Elevator doors and frames,Elevator doors and frames,Elevator,Low Priority,,
Elm/Ledbury,Elevator doors and frames & TRACKS (that floor only) PH-P4,Elevator doors and frames & TRACKS (that floor only) PH-P4,Elevator,Low Priority,,
Elm/Ledbury,Fire Cabinets,Fire Cabinets,Other / Unknown,Low Priority,,
Elm/Ledbury,Floors (11th-3rd),Floors (11th-3rd),Other / Unknown,Low Priority,,
Elm/Ledbury,Floors (PH-12th),Floors (PH-12th),Other / Unknown,Low Priority,,
Elm/Ledbury,Glass/mirrors 10th floor,Glass/mirrors 10th floor,Other / Unknown,Low Priority,,
Elm/Ledbury,Glass/mirrors 2nd floor,Glass/mirrors 2nd floor,Other / Unknown,Low Priority,,
Elm/Ledbury,Glass/mirrors Ground Floor & Parkings,Glass/mirrors Ground Floor & Parkings,Parking,Low Priority,,
Elm/Ledbury,Glass/mirrors UPH Level,Glass/mirrors UPH Level,Other / Unknown,Low Priority,,
Elm/Ledbury,Glass/mirrors UPH floor,Glass/mirrors UPH floor,Other / Unknown,Low Priority,,
Elm/Ledbury,Ground Floor / 2nd Floor / UPH Floor janitor rooms,Ground Floor / 2nd Floor / UPH Floor janitor rooms,Storage,Low Priority,,
Elm/Ledbury,Ground Floor / UPH Floor janitor rooms,Ground Floor / UPH Floor janitor rooms,Storage,Low Priority,,
Elm/Ledbury,Gym machinery,Gym machinery,Fitness,Low Priority,,
Elm/Ledbury,Kitchen and kitchenettes,Kitchen and kitchenettes,Amenity,Low Priority,,
Elm/Ledbury,"Model Suites 1901, 1902","Model Suites 1901, 1902",Guest Suite,Low Priority,,
Elm/Ledbury,Resident doors & thresholds,Resident doors & thresholds,Other / Unknown,Low Priority,,
Elm/Ledbury,Sitting areas,Sitting areas,Other / Unknown,Low Priority,,
Elm/Ledbury,"Stairwell B,E 9TH-","Stairwell B,E 9TH-",Stairwell,Low Priority,,
Elm/Ledbury,"Stairwell B,E 9TH-Ground","Stairwell B,E 9TH-Ground",Stairwell,Low Priority,,
Elm/Ledbury,"Stairwells doors, frames, thresholds & hinges (top of door)","Stairwells doors, frames, thresholds & hinges (top of door)",Stairwell,Low Priority,,
Elm/Ledbury,Thresholds,Thresholds,Other / Unknown,Low Priority,,
Elm/Ledbury,UPH Floor Lido (Pool),UPH Floor Lido (Pool),Pool / Spa,Low Priority,,
Elm/Ledbury,Ventilation and wallpaper around it,Ventilation and wallpaper around it,Other / Unknown,Low Priority,,
Maddox-Tyndall,2 Elevators,2 Elevators,Elevator,High Priority,,
Maddox-Tyndall,2 Elevators/Exits,2 Elevators/Exits,Elevator,High Priority,,
Maddox-Tyndall,"2 Ext. Elevator Doors, Frames & Buttons","2 Ext. Elevator Doors, Frames & Buttons",Elevator,High Priority,,
